City,date,crowd_point,pricePoint,weather_score
New York City,2021-04-14,62.096774193548384,74.68,72.11
New York City,2021-04-15,67.33870967741936,74.68,32.84
New York City,2021-04-16,61.69354838709678,74.68,36.81
New York City,2021-04-17,41.935483870967744,74.68,48.67
New York City,2021-04-18,42.74193548387097,74.68,60.37
New York City,2021-04-19,61.69354838709678,74.68,70.89
New York City,2021-04-20,58.87096774193549,74.68,78.11
New York City,2021-04-21,64.11290322580646,74.68,53.29
New York City,2021-04-22,62.903225806451616,74.68,49.86
New York City,2021-04-23,59.67741935483871,74.68,50.81
New York City,2021-04-24,38.70967741935485,74.68,71.75
New York City,2021-04-25,48.38709677419355,74.68,19.61
New York City,2021-04-26,61.29032258064517,74.68,60.85
New York City,2021-04-27,60.88709677419355,74.68,62.37
New York City,2021-04-28,58.46774193548387,74.68,90.74
New York City,2021-04-29,62.5,74.68,83.43
New York City,2021-04-30,59.2741935483871,74.68,74.05
New York City,2021-05-01,39.11290322580645,59.53,61.1
New York City,2021-05-02,40.32258064516129,59.53,94.72
New York City,2021-05-03,61.29032258064517,59.53,66.07
New York City,2021-05-04,59.2741935483871,59.53,32.43
New York City,2021-05-05,62.5,59.53,24.93
New York City,2021-05-06,57.66129032258065,59.53,75.23
New York City,2021-05-07,57.25806451612903,59.53,72.87
New York City,2021-05-08,42.33870967741936,59.53,49.47
New York City,2021-05-09,42.74193548387097,59.53,49.18
New York City,2021-05-10,60.88709677419355,59.53,28.67
New York City,2021-05-11,57.66129032258065,59.53,71.62
New York City,2021-05-12,57.66129032258065,59.53,69.94
New York City,2021-05-13,57.66129032258065,59.53,77.4
New York City,2021-05-14,55.64516129032258,59.53,84.64
New York City,2021-05-15,36.29032258064517,59.53,91.45
New York City,2021-05-16,39.11290322580645,59.53,89.78
New York City,2021-05-17,58.06451612903226,59.53,95.81
New York City,2021-05-18,56.45161290322581,59.53,96.49
New York City,2021-05-19,56.04838709677419,59.53,84.6
New York City,2021-05-20,55.64516129032258,59.53,95.84
New York City,2021-05-21,54.03225806451613,59.53,97.89
New York City,2021-05-22,34.2741935483871,59.53,72.57
New York City,2021-05-23,35.483870967741936,59.53,66.09
New York City,2021-05-24,57.25806451612903,59.53,98.35
New York City,2021-05-25,55.24193548387097,59.53,95.57
New York City,2021-05-26,55.64516129032258,59.53,75.01
New York City,2021-05-27,54.03225806451613,59.53,60.47
New York City,2021-05-28,57.66129032258065,59.53,47.17
New York City,2021-05-29,45.56451612903226,59.53,10.47
New York City,2021-05-30,47.983870967741936,59.53,10.04
New York City,2021-05-31,70.56451612903226,59.53,71.79
New York City,2021-06-01,55.64516129032258,45.03,95.21
New York City,2021-06-02,54.43548387096775,45.03,97.82
New York City,2021-06-03,58.46774193548387,45.03,59.62
New York City,2021-06-04,54.83870967741935,45.03,54.13
New York City,2021-06-05,31.451612903225808,45.03,74.95
New York City,2021-06-06,33.87096774193549,45.03,61.36
New York City,2021-06-07,55.24193548387097,45.03,51.19
New York City,2021-06-08,56.04838709677419,45.03,30.89
New York City,2021-06-09,53.62903225806451,45.03,49.68
New York City,2021-06-10,51.20967741935484,45.03,74.15
New York City,2021-06-11,52.41935483870968,45.03,84.19
New York City,2021-06-12,30.645161290322584,45.03,95.54
New York City,2021-06-13,32.66129032258065,45.03,94.94
New York City,2021-06-14,55.64516129032258,45.03,64.03
New York City,2021-06-15,51.612903225806456,45.03,34.91
New York City,2021-06-16,51.20967741935484,45.03,89.85
New York City,2021-06-17,50.403225806451616,45.03,96.19
New York City,2021-06-18,51.612903225806456,45.03,86.2
New York City,2021-06-19,33.06451612903226,45.03,66.09
New York City,2021-06-20,31.854838709677423,45.03,68.06
New York City,2021-06-21,54.03225806451613,45.03,63.42
New York City,2021-06-22,55.64516129032258,45.03,28.7
New York City,2021-06-23,50.0,45.03,99.16
New York City,2021-06-24,50.80645161290323,45.03,93.65
New York City,2021-06-25,50.0,45.03,90.8
New York City,2021-06-26,29.83870967741936,45.03,68.12
New York City,2021-06-27,27.82258064516129,45.03,60.78
New York City,2021-06-28,54.83870967741935,45.03,38.62
New York City,2021-06-29,56.45161290322581,45.03,44.02
New York City,2021-06-30,55.64516129032258,45.03,49.13
New York City,2021-07-01,56.85483870967742,33.52,29.06
New York City,2021-07-02,56.04838709677419,33.52,27.58
New York City,2021-07-03,38.70967741935485,33.52,49.01
New York City,2021-07-04,35.08064516129033,33.52,85.13
New York City,2021-07-05,68.95161290322581,33.52,73.15
New York City,2021-07-06,55.64516129032258,33.52,49.87
New York City,2021-07-07,53.22580645161291,33.52,45.98
New York City,2021-07-08,55.64516129032258,33.52,9.3
New York City,2021-07-09,55.64516129032258,33.52,15.11
New York City,2021-07-10,32.25806451612903,33.52,65.94
New York City,2021-07-11,34.67741935483871,33.52,71.37
New York City,2021-07-12,54.83870967741935,33.52,15.18
New York City,2021-07-13,51.20967741935484,33.52,63.81
New York City,2021-07-14,51.20967741935484,33.52,56.59
New York City,2021-07-15,50.0,33.52,56.23
New York City,2021-07-16,51.20967741935484,33.52,52.5
New York City,2021-07-17,35.08064516129033,33.52,35.6
New York City,2021-07-18,31.854838709677423,33.52,13.26
New York City,2021-07-19,52.01612903225807,33.52,67.03
New York City,2021-07-20,51.612903225806456,33.52,61.93
New York City,2021-07-21,51.612903225806456,33.52,55.74
New York City,2021-07-22,49.59677419354839,33.52,73.1
New York City,2021-07-23,50.0,33.52,77.73
New York City,2021-07-24,29.032258064516128,33.52,77.45
New York City,2021-07-25,33.46774193548387,33.52,58.42
New York City,2021-07-26,51.612903225806456,33.52,57.77
New York City,2021-07-27,51.612903225806456,33.52,56.25
New York City,2021-07-28,50.403225806451616,33.52,66.82
New York City,2021-07-29,54.83870967741935,33.52,46.29
New York City,2021-07-30,50.403225806451616,33.52,40.11
New York City,2021-07-31,29.032258064516128,33.52,87.28
New York City,2021-08-01,33.87096774193549,0.0,80.97
New York City,2021-08-02,52.01612903225807,0.0,83.18
New York City,2021-08-03,50.403225806451616,0.0,82.41
New York City,2021-08-04,51.20967741935484,0.0,80.84
New York City,2021-08-05,50.80645161290323,0.0,81.26
New York City,2021-08-06,50.80645161290323,0.0,69.86
New York City,2021-08-07,31.451612903225808,0.0,65.64
New York City,2021-08-08,35.483870967741936,0.0,67.14
New York City,2021-08-09,52.822580645161295,0.0,68.35
New York City,2021-08-10,52.01612903225807,0.0,49.07
New York City,2021-08-11,52.41935483870968,0.0,50.4
New York City,2021-08-12,52.822580645161295,0.0,49.74
New York City,2021-08-13,52.41935483870968,0.0,46.68
New York City,2021-08-14,33.46774193548387,0.0,33.29
New York City,2021-08-15,31.451612903225808,0.0,66.11
New York City,2021-08-16,53.22580645161291,0.0,69.71
New York City,2021-08-17,52.41935483870968,0.0,39.58
New York City,2021-08-18,52.41935483870968,0.0,59.08
New York City,2021-08-19,52.41935483870968,0.0,10.67
New York City,2021-08-20,52.01612903225807,0.0,60.57
New York City,2021-08-21,33.87096774193549,0.0,59.67
New York City,2021-08-22,61.29032258064517,0.0,22.77
New York City,2021-08-23,58.46774193548387,0.0,22.44
New York City,2021-08-24,51.20967741935484,0.0,60.12
New York City,2021-08-25,52.01612903225807,0.0,62.06
New York City,2021-08-26,52.41935483870968,0.0,54.28
New York City,2021-08-27,54.03225806451613,0.0,30.96
New York City,2021-08-28,34.2741935483871,0.0,21.99
New York City,2021-08-29,33.06451612903226,0.0,77.47
New York City,2021-08-30,53.22580645161291,0.0,51.71
New York City,2021-08-31,51.612903225806456,0.0,67.1
New York City,2021-09-01,58.46774193548387,14.3,29.42
New York City,2021-09-02,57.66129032258065,14.3,37.69
New York City,2021-09-03,49.59677419354839,14.3,96.7
New York City,2021-09-04,30.241935483870968,14.3,92.82
New York City,2021-09-05,32.66129032258065,14.3,85.63
New York City,2021-09-06,68.54838709677419,14.3,74.38
New York City,2021-09-07,54.03225806451613,14.3,83.91
New York City,2021-09-08,52.01612903225807,14.3,74.89
New York City,2021-09-09,52.41935483870968,14.3,31.98
New York City,2021-09-10,46.37096774193548,14.3,90.1
New York City,2021-09-11,27.016129032258068,14.3,94.11
New York City,2021-09-12,27.82258064516129,14.3,80.66
New York City,2021-09-13,46.774193548387096,14.3,65.96
New York City,2021-09-14,45.96774193548388,14.3,78.22
New York City,2021-09-15,47.17741935483871,14.3,67.87
New York City,2021-09-16,52.41935483870968,14.3,61.67
New York City,2021-09-17,46.37096774193548,14.3,75.06
New York City,2021-09-18,26.20967741935484,14.3,75.59
New York City,2021-09-19,25.806451612903228,14.3,81.99
New York City,2021-09-20,47.17741935483871,14.3,89.84
New York City,2021-09-21,46.37096774193548,14.3,91.71
New York City,2021-09-22,45.96774193548388,14.3,73.47
New York City,2021-09-23,47.983870967741936,14.3,31.67
New York City,2021-09-24,43.5483870967742,14.3,42.82
New York City,2021-09-25,23.790322580645164,14.3,99.62
New York City,2021-09-26,27.41935483870968,14.3,98.78
New York City,2021-09-27,45.96774193548388,14.3,95.66
New York City,2021-09-28,47.983870967741936,14.3,69.58
New York City,2021-09-29,44.75806451612904,14.3,90.81
New York City,2021-09-30,43.14516129032258,14.3,87.74
New York City,2021-10-01,41.935483870967744,34.88,81.97
New York City,2021-10-02,24.59677419354839,34.88,89.64
New York City,2021-10-03,27.41935483870968,34.88,96.25
New York City,2021-10-04,47.58064516129032,34.88,39.47
New York City,2021-10-05,43.5483870967742,34.88,93.92
New York City,2021-10-06,42.33870967741936,34.88,98.36
New York City,2021-10-07,41.12903225806452,34.88,95.1
New York City,2021-10-08,40.32258064516129,34.88,94.55
New York City,2021-10-09,23.790322580645164,34.88,94.81
New York City,2021-10-10,30.241935483870968,34.88,84.61
New York City,2021-10-11,54.43548387096775,34.88,99.41
New York City,2021-10-12,42.33870967741936,34.88,99.57
New York City,2021-10-13,41.53225806451613,34.88,96.07
New York City,2021-10-14,39.91935483870968,34.88,90.03
New York City,2021-10-15,39.516129032258064,34.88,91.15
New York City,2021-10-16,25.40322580645161,34.88,70.55
New York City,2021-10-17,26.20967741935484,34.88,45.76
New York City,2021-10-18,43.5483870967742,34.88,71.95
New York City,2021-10-19,41.12903225806452,34.88,71.16
New York City,2021-10-20,39.516129032258064,34.88,94.41
New York City,2021-10-21,39.516129032258064,34.88,95.6
New York City,2021-10-22,39.516129032258064,34.88,96.96
New York City,2021-10-23,23.790322580645164,34.88,78.15
New York City,2021-10-24,26.61290322580645,34.88,66.85
New York City,2021-10-25,42.74193548387097,34.88,83.49
New York City,2021-10-26,50.80645161290323,34.88,43.0
New York City,2021-10-27,39.11290322580645,34.88,29.99
New York City,2021-10-28,37.903225806451616,34.88,70.75
New York City,2021-10-29,40.7258064516129,34.88,63.95
New York City,2021-10-30,26.61290322580645,34.88,35.42
New York City,2021-10-31,19.35483870967742,34.88,44.0
New York City,2021-11-01,40.7258064516129,69.69,73.79
New York City,2021-11-02,46.37096774193548,69.69,57.48
New York City,2021-11-03,39.91935483870968,69.69,49.36
New York City,2021-11-04,39.516129032258064,69.69,49.99
New York City,2021-11-05,38.70967741935485,69.69,50.0
New York City,2021-11-06,21.774193548387096,69.69,50.0
New York City,2021-11-07,24.193548387096776,69.69,49.99
New York City,2021-11-08,39.91935483870968,69.69,58.2
New York City,2021-11-09,37.50000000000001,69.69,66.73
New York City,2021-11-10,36.693548387096776,69.69,74.75
New York City,2021-11-11,45.16129032258065,69.69,55.9
New York City,2021-11-12,41.935483870967744,69.69,36.19
New York City,2021-11-13,22.580645161290324,69.69,31.39
New York City,2021-11-14,23.790322580645164,69.69,49.99
New York City,2021-11-15,39.91935483870968,69.69,44.95
New York City,2021-11-16,37.903225806451616,69.69,49.98
New York City,2021-11-17,36.29032258064517,69.69,50.0
New York City,2021-11-18,35.88709677419355,69.69,72.83
New York City,2021-11-19,37.903225806451616,69.69,25.14
New York City,2021-11-20,18.14516129032258,69.69,49.99
New York City,2021-11-21,21.370967741935484,69.69,49.97
New York City,2021-11-22,39.516129032258064,69.69,43.98
New York City,2021-11-23,37.903225806451616,69.69,49.78
New York City,2021-11-24,41.12903225806452,69.69,49.99
New York City,2021-11-25,77.41935483870968,69.69,50.0
New York City,2021-11-26,61.69354838709678,69.69,25.94
New York City,2021-11-27,28.62903225806452,69.69,50.0
New York City,2021-11-28,29.435483870967744,69.69,44.64
New York City,2021-11-29,42.33870967741936,69.69,49.22
New York City,2021-11-30,40.32258064516129,69.69,48.72
New York City,2021-12-01,37.50000000000001,84.07,50.0
New York City,2021-12-02,37.09677419354839,84.07,35.63
New York City,2021-12-03,37.50000000000001,84.07,49.77
New York City,2021-12-04,16.12903225806452,84.07,49.78
New York City,2021-12-05,19.75806451612904,84.07,50.0
New York City,2021-12-06,38.30645161290323,84.07,48.11
New York City,2021-12-07,36.29032258064517,84.07,39.45
New York City,2021-12-08,36.29032258064517,84.07,48.03
New York City,2021-12-09,36.29032258064517,84.07,48.73
New York City,2021-12-10,35.88709677419355,84.07,49.83
New York City,2021-12-11,17.33870967741936,84.07,39.03
New York City,2021-12-12,16.53225806451613,84.07,29.09
New York City,2021-12-13,37.903225806451616,84.07,50.0
New York City,2021-12-14,37.50000000000001,84.07,49.99
New York City,2021-12-15,37.09677419354839,84.07,45.22
New York City,2021-12-16,37.903225806451616,84.07,64.77
New York City,2021-12-17,40.32258064516129,84.07,70.7
New York City,2021-12-18,27.016129032258068,84.07,35.84
New York City,2021-12-19,25.0,84.07,40.77
New York City,2021-12-20,45.56451612903226,84.07,49.99
New York City,2021-12-21,47.58064516129032,84.07,50.0
New York City,2021-12-22,48.79032258064516,84.07,26.35
New York City,2021-12-23,51.20967741935484,84.07,50.0
New York City,2021-12-24,69.75806451612904,84.07,42.67
New York City,2021-12-25,68.54838709677419,84.07,2.37
New York City,2021-12-26,34.2741935483871,84.07,48.48
New York City,2021-12-27,58.06451612903226,84.07,49.56
New York City,2021-12-28,55.64516129032258,84.07,35.02
New York City,2021-12-29,56.85483870967742,84.07,20.96
New York City,2021-12-30,56.04838709677419,84.07,36.25
New York City,2021-12-31,67.33870967741936,84.07,46.36
New York City,2022-01-01,59.67741935483871,,
Los Angeles,2021-01-01,79.03225806451614,51.72,62.78
Los Angeles,2021-01-02,46.37096774193548,51.72,63.05
Los Angeles,2021-01-03,41.53225806451613,51.72,62.03
Los Angeles,2021-01-04,47.17741935483871,51.72,62.49
Los Angeles,2021-01-05,47.983870967741936,51.72,69.62
Los Angeles,2021-01-06,49.193548387096776,51.72,78.02
Los Angeles,2021-01-07,50.403225806451616,51.72,76.69
Los Angeles,2021-01-08,49.59677419354839,51.72,78.72
Los Angeles,2021-01-09,40.32258064516129,51.72,76.58
Los Angeles,2021-01-10,40.32258064516129,51.72,76.31
Los Angeles,2021-01-11,47.983870967741936,51.72,76.36
Los Angeles,2021-01-12,49.193548387096776,51.72,77.88
Los Angeles,2021-01-13,50.0,51.72,81.48
Los Angeles,2021-01-14,50.0,51.72,98.44
Los Angeles,2021-01-15,49.59677419354839,51.72,90.47
Los Angeles,2021-01-16,41.12903225806452,51.72,88.2
Los Angeles,2021-01-17,41.12903225806452,51.72,88.47
Los Angeles,2021-01-18,51.20967741935484,51.72,99.67
Los Angeles,2021-01-19,50.403225806451616,51.72,85.09
Los Angeles,2021-01-20,50.403225806451616,51.72,95.43
Los Angeles,2021-01-21,49.193548387096776,51.72,88.76
Los Angeles,2021-01-22,48.79032258064516,51.72,70.89
Los Angeles,2021-01-23,47.17741935483871,51.72,21.33
Los Angeles,2021-01-24,41.12903225806452,51.72,21.62
Los Angeles,2021-01-25,50.403225806451616,51.72,35.56
Los Angeles,2021-01-26,48.38709677419355,51.72,49.94
Los Angeles,2021-01-27,49.193548387096776,51.72,51.57
Los Angeles,2021-01-28,50.403225806451616,51.72,58.31
Los Angeles,2021-01-29,54.03225806451613,51.72,7.22
Los Angeles,2021-01-30,36.693548387096776,51.72,49.74
Los Angeles,2021-01-31,37.09677419354839,51.72,64.4
Los Angeles,2021-02-01,45.56451612903226,100.0,80.5
Los Angeles,2021-02-02,45.56451612903226,100.0,85.92
Los Angeles,2021-02-03,45.56451612903226,100.0,75.8
Los Angeles,2021-02-04,45.56451612903226,100.0,70.17
Los Angeles,2021-02-05,44.35483870967742,100.0,71.04
Los Angeles,2021-02-06,33.87096774193549,100.0,76.28
Los Angeles,2021-02-07,38.30645161290323,100.0,79.68
Los Angeles,2021-02-08,45.16129032258065,100.0,71.2
Los Angeles,2021-02-09,45.96774193548388,100.0,63.3
Los Angeles,2021-02-10,44.35483870967742,100.0,66.35
